country,year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year,gdp_per_capita,generation
Antigua and Barbuda,1985,female,15-24 years,0.0,7709.0,0.0,240923926.0,3850.0,Generation X
Antigua and Barbuda,1985,female,25-34 years,0.0,6344.0,0.0,240923926.0,3850.0,Boomers
Antigua and Barbuda,1985,female,35-54 years,0.0,6173.0,0.0,240923926.0,3850.0,Silent
Antigua and Barbuda,1985,female,5-14 years,0.0,7339.0,0.0,240923926.0,3850.0,Generation X
Antigua and Barbuda,1985,female,55-74 years,0.0,3778.0,0.0,240923926.0,3850.0,G.I. Generation
Antigua and Barbuda,1985,female,75+ years,0.0,949.0,0.0,240923926.0,3850.0,G.I. Generation
Antigua and Barbuda,1985,male,15-24 years,0.0,7667.0,0.0,240923926.0,3850.0,Generation X
Antigua and Barbuda,1985,male,25-34 years,0.0,6194.0,0.0,240923926.0,3850.0,Boomers
Antigua and Barbuda,1985,male,35-54 years,0.0,5970.0,0.0,240923926.0,3850.0,Silent
Antigua and Barbuda,1985,male,5-14 years,0.0,7304.0,0.0,240923926.0,3850.0,Generation X
Antigua and Barbuda,1985,male,55-74 years,0.0,2723.0,0.0,240923926.0,3850.0,G.I. Generation
Antigua and Barbuda,1985,male,75+ years,0.0,424.0,0.0,240923926.0,3850.0,G.I. Generation
Antigua and Barbuda,1986,female,15-24 years,0.0,7668.0,0.0,290440148.0,4740.0,Generation X
Antigua and Barbuda,1986,female,25-34 years,0.0,6209.0,0.0,290440148.0,4740.0,Boomers
Antigua and Barbuda,1986,female,35-54 years,0.0,6101.0,0.0,290440148.0,4740.0,Silent
Antigua and Barbuda,1986,female,5-14 years,0.0,6907.0,0.0,290440148.0,4740.0,Generation X
Antigua and Barbuda,1986,female,55-74 years,0.0,3764.0,0.0,290440148.0,4740.0,G.I. Generation
Antigua and Barbuda,1986,female,75+ years,0.0,1014.0,0.0,290440148.0,4740.0,G.I. Generation
Antigua and Barbuda,1986,male,15-24 years,0.0,7563.0,0.0,290440148.0,4740.0,Generation X
Antigua and Barbuda,1986,male,25-34 years,0.0,6023.0,0.0,290440148.0,4740.0,Boomers
Antigua and Barbuda,1986,male,35-54 years,0.0,5947.0,0.0,290440148.0,4740.0,Silent
Antigua and Barbuda,1986,male,5-14 years,0.0,6827.0,0.0,290440148.0,4740.0,Generation X
Antigua and Barbuda,1986,male,55-74 years,0.0,2771.0,0.0,290440148.0,4740.0,G.I. Generation
Antigua and Barbuda,1986,male,75+ years,0.0,476.0,0.0,290440148.0,4740.0,G.I. Generation
Antigua and Barbuda,1987,female,15-24 years,0.0,7583.0,0.0,337174852.0,5595.0,Generation X
Antigua and Barbuda,1987,female,25-34 years,0.0,6101.0,0.0,337174852.0,5595.0,Boomers
Antigua and Barbuda,1987,female,35-54 years,0.0,6059.0,0.0,337174852.0,5595.0,Silent
Antigua and Barbuda,1987,female,5-14 years,0.0,6623.0,0.0,337174852.0,5595.0,Generation X
Antigua and Barbuda,1987,female,55-74 years,0.0,3738.0,0.0,337174852.0,5595.0,G.I. Generation
Antigua and Barbuda,1987,female,75+ years,0.0,1081.0,0.0,337174852.0,5595.0,G.I. Generation
